lat_band	f_land	f_cloud	T0	S
1	1.000000899	0.47	230.8	171
2	0.736206897	0.586	243.6	181.602
3	0.095199467	0.746	266.3	213.408
4	0.008356099	0.767	276	263.34
5	0.03089936	0.652	283	305.064
6	0.113723727	0.534	289.6	349.182
7	0.231147517	0.475	294.5	383.04
8	0.219443331	0.47	297.7	406.638
9	0.234776027	0.485	299.2	416.898
10	0.227435041	0.48	299.6	416.898
11	0.261934269	0.44	299.2	406.638
12	0.37482643	0.464	296	383.04
13	0.427700104	0.559	289.3	349.182
14	0.524238995	0.633	281.9	305.064
15	0.575864666	0.679	275.3	263.34
16	0.709523546	0.676	268	213.408
17	0.298899305	0.651	260.8	181.602
18	0.099140357	0.64	256.2	171
