lat_band	f_land	f_cloud	T0
1	0.997783019	0.47394	232.93
2	0.856048375	0.48271	231.31
3	0.757134784	0.54419	238.21
4	0.537650777	0.63056	249.61
5	0.183247862	0.71404	261.46
6	0.002721963	0.76742	269.88
7	0.000626095	0.7777	274.36
8	0.014464331	0.74648	277.68
9	0.025275313	0.68611	281.21
10	0.036898307	0.61875	284.76
11	0.066379735	0.55897	288.08
12	0.159315719	0.51318	291
13	0.217594435	0.48384	293.44
14	0.246369097	0.46977	295.46
15	0.237832281	0.46788	297.06
16	0.204756327	0.47335	298.22
17	0.231680853	0.48143	298.96
18	0.241560567	0.48745	299.37
19	0.213485399	0.48578	299.55
20	0.242696972	0.47037	299.63
21	0.235899953	0.44787	299.47
22	0.291745247	0.43731	298.74
23	0.350870874	0.44919	297.16
24	0.404080149	0.48449	294.58
25	0.425538458	0.53433	291.17
26	0.427209658	0.58087	287.41
27	0.476549482	0.61724	283.67
28	0.557882955	0.64774	280.22
29	0.594516286	0.67156	276.96
30	0.546645458	0.68261	273.56
31	0.699112374	0.68041	269.89
32	0.721641625	0.67031	266.11
33	0.354473996	0.65727	262.46
34	0.237384339	0.6456	259.3
35	0.131727569	0.63957	256.96
36	0	0.64344	255.78
